Project ID,Project Name,Street,Borough,BBL,BIN,Latitude,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
51378,Stammtisch - Troutman,TROUTMAN STREET,Brooklyn,3031870024.0,3072556.0,40.704271,Preservation,No,Non Prevailing Wage,0,0,3,3,0,0,0,6,0,0,0,0,0,6,0,6,6
51396,"RIVERBEND HOUSING COMPANY, INC.",5 AVENUE,Manhattan,1017630001.0,1054344.0,40.814945,Preservation,No,Non Prevailing Wage,0,0,0,625,0,0,31,283,263,48,0,0,0,0,625,625,625
51581,590 Five Corp.,EAST 167 STREET,Bronx,2026140061.0,2004293.0,40.82871,Preservation,No,Non Prevailing Wage,3,7,64,4,0,1,7,56,10,6,0,0,0,79,0,79,79
51582,425 GRAND CONCOURSE,GRAND CONCOURSE,Bronx,2023467501.0,2129044.0,40.817142,New Construction,No,Non Prevailing Wage,56,55,96,69,0,1,45,92,94,46,0,0,0,277,0,277,277
51585,217-221 W. 29th Street,WEST 29 STREET,Manhattan,1007790027.0,1090618.0,40.748214,New Construction,No,Non Prevailing Wage,0,0,19,0,0,0,4,13,2,0,0,0,0,19,0,19,95
51590,226 West 113th Street HDFC,WEST 113 STREET,Manhattan,1018280040.0,1055121.0,40.801587,Preservation,No,Non Prevailing Wage,1,16,1,0,0,0,1,0,0,0,12,5,0,1,17,18,18
51607,261 Hudson Street,HUDSON STREET,Manhattan,1005947511.0,1090602.0,40.724919,New Construction,No,Non Prevailing Wage,0,0,41,0,0,0,16,16,9,0,0,0,0,41,0,41,201
51652,Praxis. 2270 Loring Place North,LORING PLACE NORTH,Bronx,2032250010.0,2129017.0,40.860959,New Construction,No,Prevailing Wage,51,0,14,0,0,1,51,10,5,0,0,0,0,66,0,66,66
51719,The Pavilion at Locust Manor,BAISLEY BOULEVARD,Queens,4125290239.0,4618244.0,40.681254,New Construction,No,Non Prevailing Wage,9,26,49,0,0,1,8,32,45,0,0,0,0,85,0,85,85
51751,Rose Ellen Smith MBD HDFC,HOE AVENUE,Bronx,2029830028.0,2010608.0,40.836415,Preservation,No,Non Prevailing Wage,45,0,0,0,0,2,13,32,2,0,0,0,0,47,0,47,47
51778,PARK HOUSE,PARK AVENUE,Bronx,2030280055.0,2128909.0,40.849356,New Construction,No,Non Prevailing Wage,20,30,197,0,0,1,29,93,101,25,0,0,0,248,0,248,248
51779,9306 Shore Front Parkway,SHORE FRONT PARKWAY,Queens,4161390011.0,4617165.0,40.584004,New Construction,No,Non Prevailing Wage,0,13,0,50,0,1,4,34,20,6,0,0,0,64,0,64,64
51867,THE ROBESON,WEST 131 STREET,Manhattan,1019157501.0,1090183.0,40.811754,New Construction,No,Non Prevailing Wage,0,16,24,0,38,1,16,25,32,6,0,0,0,79,0,79,79
51868,LEXINGTON GARDENS II,PARK AVENUE,Manhattan,1016357501.0,1090142.0,40.793822,New Construction,No,Non Prevailing Wage,80,119,120,0,80,1,104,126,110,60,0,0,0,400,0,400,400
51918,225 E 39th Street (fka 222 East 40th Street),3 AVENUE,Manhattan,1009200012.0,1082153.0,40.748972,New Construction,No,Non Prevailing Wage,0,0,75,0,0,0,20,27,25,3,0,0,0,75,0,75,372
