,Oversight Agency,Full Location Address,Borough,Postcode,Wheelchair Accessible,Assistive Technology,Affordability Connectivity Program,Productivity Tools,Job Readiness,Education,Creative Expression,Media and Entertainment,Certifications,Digital Literacy,Latitude,Longitude
510,DFTA,"45-25 Kissena Boulevard, Queens, NY",Queens,11355,Yes,No,Not sure,Yes,No,No,Yes,Yes,No,Yes,40.751901,-73.820085
372,DFTA,"100 Gold Street, Manhattan, NY",Manhattan,10038,Yes,Yes,Not sure,No,No,Yes,No,No,No,Yes,40.710506,-74.00382
188,DFTA,"7907 New Utrecht Avenue, Brooklyn, NY",Brooklyn,11214,Yes,No,Not sure,No,No,Yes,Yes,No,No,No,40.61225,-74.000708
44,BPL,"7223 Ridge Boulevard, Brooklyn, NY",Brooklyn,11209,Partially,Yes,Not sure,Yes,No,Yes,Yes,No,No,No,40.63362571,-74.02953835
225,QPL,"169-09 137th Avenue, Jamaica, NY",Queens,11434,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.67286,-73.7706
202,DYCD,"154 West 93rd Street, New York, NY",Manhattan,10025,Yes,No,Not sure,No,No,Yes,No,No,No,No,40.79164069,-73.97062939
498,DFTA,"43-31 39th Street, Queens, NY",Queens,11104,Yes,No,Yes,No,No,No,No,No,No,Yes,40.74503,-73.925693
206,DFTA,"250 West 65th Street, Manhattan, NY",Manhattan,10023,Yes,No,Not sure,No,No,Yes,No,No,No,Yes,40.774856,-73.987268
239,QPL,"92-24 Rockaway Boulevard, Ozone Park, NY",Queens,11417,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.68086185,-73.84648873
163,DFTA,"44 Bionia Avenue, Staten Island, NY",StatenIsland,10305,Yes,No,No,No,No,No,No,No,No,Yes,40.5968366,-74.07544965
418,DFTA,"106-20 Shore Front Parkway, Queens, NY",Queens,11694,Yes,No,Yes,No,No,Yes,No,No,No,No,40.581026,-73.826948
507,QPL,"108-19 71st Avenue, Forest Hills, NY",Queens,11375,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.722114,-73.843008
179,DPR,"0 Richmond Terrace & Faber Street, Staten Island, NY",StatenIsland,10302,Yes,Yes,Not sure,No,No,Yes,No,No,No,No,40.641012,-74.13535
328,DYCD,"3016 Yates Avenue, Bronx, NY",Bronx,10469,Yes,No,No,Yes,Yes,Yes,No,No,No,No,40.870135,-73.853928
388,DYCD,"660 Soundview Avenue, Bronx, NY",Bronx,10473,Yes,No,No,No,No,No,Yes,Yes,No,No,40.81876,-73.862911
457,DPR,"35-30 35th Street, Astoria, NY",Queens,11106,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,No,Yes,40.7558,-73.9263
245,DPR,"35 West 134th Street, New York, NY",Manhattan,10037,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,No,Yes,40.812794,-73.939251
7,BPL,"93 St. Edwards Street, Brooklyn, NY",Brooklyn,11205,Partially,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,40.6945,-73.97774
119,DYCD,"985 Rockaway Avenue, Brooklyn, NY",Brooklyn,11212,Yes,No,Not sure,Yes,Yes,Yes,No,Yes,Yes,No,40.65658956,-73.9073771
18,DYCD,"323 Roebling Street, Brooklyn, NY",Brooklyn,11211,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,40.708135,-73.960634
297,DFTA,"1068 Gerard Avenue, Bronx, NY",Bronx,10452,Yes,No,Yes,No,No,No,No,No,No,Yes,40.83213,-73.922213
358,DPR,"128 Pitt Street, New York, NY",Manhattan,10002,Yes,No,No,No,No,No,No,No,No,No,40.719983,-73.981461
115,BPL,"22 Linden Boulevard, Brooklyn, NY",Brooklyn,11226,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,40.65192508,-73.95824218
359,NYPL,"128 Pitt Street, New York, NY",Manhattan,10002,Partially,Yes,Yes,No,No,No,No,No,No,No,40.719983,-73.981461
332,DFTA,"465 St. Ann's Avenue, Bronx, NY",Bronx,10455,Yes,Yes,Yes,No,No,No,No,Yes,No,No,40.81262,-73.914283
233,QPL,"250-06 Hillside Avenue, Bellerose, NY",Queens,11426,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.73515699,-73.71709897
301,DFTA,"1220 East 229th Street, Bronx, NY",Bronx,10466,Yes,No,Not sure,Yes,No,No,No,No,No,Yes,40.884011,-73.842204
445,DFTA,"37-06 111th Street, Queens, NY",Queens,11368,Yes,No,Not sure,No,No,No,No,No,No,No,40.753609,-73.857119
173,NYPL,"7430 Amboy Road, Staten Island, NY",StatenIsland,10307,Yes,Yes,Yes,No,No,No,No,No,No,Yes,40.50953112,-74.24410671
450,DFTA,"83-20 Queens Boulevard, Brooklyn, NY",Queens,11373,Yes,No,Yes,Yes,Yes,No,No,No,No,No,40.73699796,-73.87982136
528,NYPL,"610 East 186th Street, Bronx, NY",Bronx,10458,Yes,Yes,Yes,No,No,No,No,No,No,Yes,40.85434691,-73.88788943
273,DPR,"351 Fort Washington Avenue, New York, NY",Manhattan,10033,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,No,Yes,40.846563,-73.940856
101,BPL,"303 Avenue X , Brooklyn, NY",Brooklyn,11223,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,40.59054439,-73.97180845
244,DFTA,"34 West 134th Street, Manhattan, NY",Manhattan,10037,Yes,No,Not sure,No,No,No,No,No,No,Yes,40.812617,-73.939956
30,DFTA,"2702 Linden Boulevard, Brooklyn, NY",Brooklyn,11208,Yes,No,No,No,No,No,Yes,No,No,No,40.668837,-73.864605
471,QPL,"118-14 Hillside Avenue, Richmond Hill, NY",Queens,11418,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.70076527,-73.83162542
150,BPL,"25 Fourth Avenue, Brooklyn, NY",Brooklyn,11217,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,40.68345883,-73.97854148
